,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
291,bov,ESPA3.SA,ESPACOLASER ON      NM,5.37,2021-08-17,2021-09-06,20 days 00:00:00.000000000,16.06,2022-03-14,10 days 00:00:00.000000000,38.69,50.0,240.88,190.88,1.27,10,-22.63,386.9,-226.28,False,False,73.1
292,bov,UNIP6.SA,UNIPAR      PNB,104.94,2021-11-04,2022-03-21,137 days 00:00:00.000000000,47.67,2022-01-21,62 days 00:00:00.000000000,14.91,45.26,31.29,-13.97,2.09,75,32.76,24.05,43.68,False,True,65.08
293,bov,PARD3.SA,IHPARDINI   ON      NM,19.03,2022-01-07,2022-02-01,25 days 00:00:00.000000000,25.96,2022-03-15,9 days 00:00:00.000000000,12.86,36.0,49.53,13.53,3.95,16,13.1,142.88,81.89,False,True,65.78
294,commodities,GC=F,Gold Apr 22,1956.2,2021-09-29,2022-03-08,160 days 00:00:00.000000000,16.62,2021-12-02,113 days 00:00:00.000000000,9.74,70.62,58.62,-12.01,4.51,47,6.88,8.62,14.64,False,True,43.83
295,commodities,MGC=F,"Micro Gold Futures,Jun-2022",1961.0,2021-09-29,2022-03-08,160 days 00:00:00.000000000,16.77,2021-12-02,113 days 00:00:00.000000000,9.99,70.62,59.56,-11.07,4.94,47,6.78,8.84,14.43,False,True,44.26
296,commodities,PL=F,Platinum Apr 22,1027.5,2021-09-20,2022-03-08,169 days 00:00:00.000000000,23.6,2021-12-15,100 days 00:00:00.000000000,13.57,59.17,57.52,-1.65,21.66,69,10.03,13.57,14.53,True,False,33.41
297,commodities,PA=F,Palladium Jun 22,2532.5,2021-12-16,2022-03-04,78 days 00:00:00.000000000,68.61,2022-03-24,1 days 00:00:00.000000000,0.68,1.28,0.99,-0.29,0.77,77,67.93,67.88,88.23,True,False,30.87
298,commodities,CL=F,Crude Oil May 22,109.89,2021-08-23,2022-03-08,197 days 00:00:00.000000000,72.83,2021-12-01,114 days 00:00:00.000000000,54.85,57.87,75.3,17.43,4.58,83,17.99,48.11,21.67,False,True,42.71
299,commodities,HO=F,Heating Oil Apr 22,4.07,2021-08-23,2022-03-08,197 days 00:00:00.000000000,89.01,2021-11-30,115 days 00:00:00.000000000,71.28,58.38,80.08,21.71,3.87,82,17.73,61.98,21.62,False,True,52.24
300,commodities,NG=F,Natural Gas Apr 22,5.4,2021-04-06,2021-10-05,182 days 00:00:00.000000000,96.89,2021-12-30,85 days 00:00:00.000000000,50.04,46.7,51.65,4.95,13.09,97,46.85,58.87,48.3,False,True,66.15
301,commodities,RB=F,RBOB Gasoline Apr 22,3.33,2021-09-09,2022-03-08,180 days 00:00:00.000000000,58.41,2021-12-01,114 days 00:00:00.000000000,55.38,63.33,94.8,31.47,3.11,66,3.04,48.58,4.6,False,True,43.05
